epoch,train_loss,train_accuracy,dev_accuracy
1,0.09535851642913466,89.81288981288981,95.37514087908549
2,0.03191532451477194,97.32848232848232,97.90693930123973
3,0.018495067418428896,98.5524948024948,95.81790371920786
4,0.01605314853189983,98.85914760914761,98.69586218000322
5,0.010205722650310778,99.2489604989605,97.68153276445017
6,0.010749916879194832,99.22817047817048,99.08227338592819
7,0.009404330007559348,99.29054054054055,99.2956045725326
8,0.010265820830380093,99.32952182952182,98.94944453389148
9,0.008412619489641664,99.41528066528066,98.57913379488005
10,0.006559852567345213,99.57640332640332,99.41233295765578
11,0.006941789309626254,99.55301455301455,98.54290774432458
12,0.007272292064320891,99.51403326403326,87.98502656577041
13,0.006992577752031581,99.44386694386695,99.39220737401385
14,0.00444134559007455,99.66995841995842,98.82466591531154
15,0.0056230254946311635,99.61278586278586,88.40766382225084
16,0.00650218696526242,99.57380457380458,99.38818225728546
17,0.003382009166605395,99.77910602910603,99.55321204314924
18,0.005885886184185215,99.5608108108108,99.17485107068104
19,0.0049042073615763295,99.60758835758836,99.60553856061826
20,0.004421158870662531,99.67515592515592,99.51698599259379
21,0.004637643520847231,99.70634095634095,98.8930928996941
22,0.003315042045086067,99.82328482328482,99.44855900821123
23,0.004941328798214403,99.61798336798337,99.20302688777974
24,0.0038009464580545968,99.72972972972973,99.3801320238287
25,0.002722495054944008,99.79209979209979,99.17887618740943
26,0.0050124107516659275,99.68035343035343,98.71598776364515
27,0.0029256409051789632,99.78950103950103,96.51424891321848
28,0.0026783761299213776,99.82068607068607,99.30767992271775
29,0.0033082974215199053,99.76871101871102,99.50893575913702
30,0.0024966953750650144,99.8518711018711,98.76026404765739
